[2023-10-10 19:37:41.145] Opened database successfully
[2023-10-10 19:37:41.227] Table ANALOGS created successfully
[2023-10-10 19:37:41.253] Table BINARIES created successfully
[2023-10-10 19:38:17.003] Signal 6: 0
[2023-10-10 19:38:17.004] Signal 7: 60673
[2023-10-10 19:38:17.004] Signal 8: 16383
[2023-10-10 19:38:17.005] Signal 9: 50
[2023-10-10 19:38:18.000] Signal 0: 26
[2023-10-10 19:38:18.002] Signal 1: 0
[2023-10-10 19:38:18.002] Signal 2: 0
[2023-10-10 19:38:18.003] Signal 3: 2
[2023-10-10 19:38:18.004] Signal 4: 0
[2023-10-10 19:38:18.004] Signal 5: 1080
[2023-10-10 19:38:18.005] Signal 6: 0
[2023-10-10 19:38:18.005] Signal 7: 60673
[2023-10-10 19:38:18.006] Signal 8: 16383
[2023-10-10 19:38:18.006] Signal 9: 50
[2023-10-10 19:38:19.000] Signal 0: 26
[2023-10-10 19:38:19.000] Signal 1: 0
[2023-10-10 19:38:19.001] Signal 2: 0
[2023-10-10 19:38:19.002] Signal 3: 2
[2023-10-10 19:38:19.003] Signal 4: 0
[2023-10-10 19:38:19.004] Signal 5: 1080
[2023-10-10 19:38:19.004] Signal 6: 0
[2023-10-10 19:38:19.005] Signal 7: 60673
[2023-10-10 19:38:19.005] Signal 8: 16383
[2023-10-10 19:38:19.006] Signal 9: 50
[2023-10-10 19:38:20.000] Signal 0: 26
[2023-10-10 19:38:20.000] Signal 1: 0
[2023-10-10 19:38:20.001] Signal 2: 0
[2023-10-10 19:38:20.001] Signal 3: 2
[2023-10-10 19:38:20.002] Signal 4: 0
[2023-10-10 19:38:20.002] Signal 5: 1080
[2023-10-10 19:38:20.003] Signal 6: 0
[2023-10-10 19:38:20.003] Signal 7: 60673
[2023-10-10 19:38:20.004] Signal 8: 16383
[2023-10-10 19:38:20.004] Signal 9: 50
[2023-10-10 19:38:21.000] Signal 0: 26
[2023-10-10 19:38:21.000] Signal 1: 0
[2023-10-10 19:38:21.001] Signal 2: 0
[2023-10-10 19:38:21.001] Signal 3: 2
[2023-10-10 19:38:21.002] Signal 4: 0
[2023-10-10 19:38:21.003] Signal 5: 1080
[2023-10-10 19:38:21.003] Signal 6: 0
[2023-10-10 19:38:21.003] Signal 7: 60673
[2023-10-10 19:38:21.004] Signal 8: 16383
[2023-10-10 19:38:21.004] Signal 9: 50
[2023-10-10 19:38:22.000] Signal 0: 26
[2023-10-10 19:38:22.000] Signal 1: 0
[2023-10-10 19:38:22.002] Signal 2: 0
[2023-10-10 19:38:22.002] Signal 3: 2
[2023-10-10 19:38:22.003] Signal 4: 0
[2023-10-10 19:38:22.004] Signal 5: 1080
[2023-10-10 19:38:22.004] Signal 6: 0
[2023-10-10 19:38:22.005] Signal 7: 60673
[2023-10-10 19:38:22.005] Signal 8: 16383
[2023-10-10 19:38:22.006] Signal 9: 50
[2023-10-10 19:38:23.000] Signal 0: 26
[2023-10-10 19:38:23.000] Signal 1: 0
[2023-10-10 19:38:23.001] Signal 2: 0
[2023-10-10 19:38:23.002] Signal 3: 2
[2023-10-10 19:38:23.002] Signal 4: 0
[2023-10-10 19:38:23.003] Signal 5: 1080
[2023-10-10 19:38:23.003] Signal 6: 0
[2023-10-10 19:38:23.004] Signal 7: 60673
[2023-10-10 19:38:23.004] Signal 8: 16383
[2023-10-10 19:38:23.005] Signal 9: 50
[2023-10-10 19:38:24.000] Signal 0: 26
[2023-10-10 19:38:24.000] Signal 1: 0
[2023-10-10 19:38:24.001] Signal 2: 0
[2023-10-10 19:38:24.001] Signal 3: 2
[2023-10-10 19:38:24.002] Signal 4: 0
[2023-10-10 19:38:24.002] Signal 5: 1080
[2023-10-10 19:38:24.003] Signal 6: 0
[2023-10-10 19:38:24.003] Signal 7: 60673
[2023-10-10 19:38:24.004] Signal 8: 16383
[2023-10-10 19:38:24.004] Signal 9: 50
[2023-10-10 19:38:25.000] Signal 0: 26
[2023-10-10 19:38:25.000] Signal 1: 0
[2023-10-10 19:38:25.001] Signal 2: 0
[2023-10-10 19:38:25.001] Signal 3: 2
[2023-10-10 19:38:25.002] Signal 4: 0
[2023-10-10 19:38:25.002] Signal 5: 1080
[2023-10-10 19:38:25.003] Signal 6: 0
[2023-10-10 19:38:25.003] Signal 7: 60673
[2023-10-10 19:38:25.004] Signal 8: 16383
[2023-10-10 19:38:25.004] Signal 9: 50
[2023-10-10 19:38:26.000] Signal 0: 26
[2023-10-10 19:38:26.000] Signal 1: 0
[2023-10-10 19:38:26.001] Signal 2: 0
[2023-10-10 19:38:26.001] Signal 3: 2
[2023-10-10 19:38:26.002] Signal 4: 0
[2023-10-10 19:38:26.002] Signal 5: 1080
[2023-10-10 19:38:26.003] Signal 6: 0
[2023-10-10 19:38:26.003] Signal 7: 60673
[2023-10-10 19:38:26.004] Signal 8: 16383
[2023-10-10 19:38:26.004] Signal 9: 50
[2023-10-10 19:38:27.000] Signal 0: 26
[2023-10-10 19:38:27.000] Signal 1: 0
[2023-10-10 19:38:27.001] Signal 2: 0
[2023-10-10 19:38:27.002] Signal 3: 2
[2023-10-10 19:38:27.002] Signal 4: 0
[2023-10-10 19:38:27.003] Signal 5: 1080
[2023-10-10 19:38:27.004] Signal 6: 0
[2023-10-10 19:38:27.004] Signal 7: 60673
[2023-10-10 19:38:27.004] Signal 8: 16383
[2023-10-10 19:38:27.005] Signal 9: 50
[2023-10-10 19:38:28.000] Signal 0: 26
[2023-10-10 19:38:28.000] Signal 1: 0
[2023-10-10 19:38:28.001] Signal 2: 0
[2023-10-10 19:38:28.002] Signal 3: 2
[2023-10-10 19:38:28.003] Signal 4: 0
[2023-10-10 19:38:28.003] Signal 5: 1080
[2023-10-10 19:38:28.004] Signal 6: 0
[2023-10-10 19:38:28.004] Signal 7: 60673
[2023-10-10 19:38:28.005] Signal 8: 16383
[2023-10-10 19:38:28.005] Signal 9: 50
[2023-10-10 19:38:29.000] Signal 0: 26
[2023-10-10 19:38:29.000] Signal 1: 0
[2023-10-10 19:38:29.001] Signal 2: 0
[2023-10-10 19:38:29.001] Signal 3: 2
[2023-10-10 19:38:29.002] Signal 4: 0
[2023-10-10 19:38:29.003] Signal 5: 1080
[2023-10-10 19:38:29.003] Signal 6: 0
[2023-10-10 19:38:29.004] Signal 7: 60673
[2023-10-10 19:38:29.004] Signal 8: 16383
[2023-10-10 19:38:29.005] Signal 9: 50
[2023-10-10 19:38:30.000] Signal 0: 26
[2023-10-10 19:38:30.000] Signal 1: 0
[2023-10-10 19:38:30.001] Signal 2: 0
[2023-10-10 19:38:30.001] Signal 3: 2
[2023-10-10 19:38:30.002] Signal 4: 0
[2023-10-10 19:38:30.002] Signal 5: 1080
[2023-10-10 19:38:30.003] Signal 6: 0
[2023-10-10 19:38:30.004] Signal 7: 60673
[2023-10-10 19:38:30.004] Signal 8: 16383
[2023-10-10 19:38:30.005] Signal 9: 50
[2023-10-10 19:38:31.000] Signal 0: 26
[2023-10-10 19:38:31.000] Signal 1: 0
[2023-10-10 19:38:31.001] Signal 2: 0
[2023-10-10 19:38:31.001] Signal 3: 2
[2023-10-10 19:38:31.002] Signal 4: 0
[2023-10-10 19:38:31.002] Signal 5: 1080
[2023-10-10 19:38:31.003] Signal 6: 0
[2023-10-10 19:38:31.003] Signal 7: 60673
[2023-10-10 19:38:31.004] Signal 8: 16383
[2023-10-10 19:38:31.004] Signal 9: 50
[2023-10-10 19:38:32.000] Signal 0: 26
[2023-10-10 19:38:32.000] Signal 1: 0
[2023-10-10 19:38:32.001] Signal 2: 0
[2023-10-10 19:38:32.002] Signal 3: 2
[2023-10-10 19:38:32.002] Signal 4: 0
[2023-10-10 19:38:32.003] Signal 5: 1080
[2023-10-10 19:38:32.003] Signal 6: 0
[2023-10-10 19:38:32.004] Signal 7: 60673
[2023-10-10 19:38:32.004] Signal 8: 16383
[2023-10-10 19:38:32.005] Signal 9: 50
[2023-10-10 19:38:33.000] Signal 0: 26
[2023-10-10 19:38:33.000] Signal 1: 0
[2023-10-10 19:38:33.001] Signal 2: 0
[2023-10-10 19:38:33.001] Signal 3: 2
[2023-10-10 19:38:33.002] Signal 4: 0
[2023-10-10 19:38:33.002] Signal 5: 1080
[2023-10-10 19:38:33.003] Signal 6: 0
[2023-10-10 19:38:33.004] Signal 7: 60673
[2023-10-10 19:38:33.004] Signal 8: 16383
[2023-10-10 19:38:33.005] Signal 9: 50
[2023-10-10 19:38:34.000] Signal 0: 26
[2023-10-10 19:38:34.000] Signal 1: 0
[2023-10-10 19:38:34.001] Signal 2: 0
[2023-10-10 19:38:34.002] Signal 3: 2
[2023-10-10 19:38:34.002] Signal 4: 0
[2023-10-10 19:38:34.003] Signal 5: 1080
[2023-10-10 19:38:34.003] Signal 6: 0
[2023-10-10 19:38:34.004] Signal 7: 60673
[2023-10-10 19:38:34.004] Signal 8: 16383
[2023-10-10 19:38:34.005] Signal 9: 50
[2023-10-10 19:38:35.000] Signal 0: 26
[2023-10-10 19:38:35.000] Signal 1: 0
[2023-10-10 19:38:35.001] Signal 2: 0
[2023-10-10 19:38:35.001] Signal 3: 2
[2023-10-10 19:38:35.002] Signal 4: 0
[2023-10-10 19:38:35.002] Signal 5: 1080
[2023-10-10 19:38:35.003] Signal 6: 0
